Topic,Country,name,Score
ai,us,Carnegie Mellon University,39.5
ai,us,University of Maryland - College Park,23.2
ai,us,University of Virginia,23.0
ai,us,Arizona State University,20.9
ai,us,Pennsylvania State University,20.2
ai,us,University of Southern California,19.1
ai,us,Univ. of Illinois at Urbana-Champaign,17.8
ai,us,Georgia Institute of Technology,16.7
ai,us,Massachusetts Institute of Technology,16.7
ai,us,Rutgers University,15.2
ai,us,Univ. of California - Los Angeles,14.4
ai,us,Univ. of California - San Diego,14.1
ai,us,University of Illinois at Chicago,14.1
ai,us,University of Michigan,14.1
ai,us,Northeastern University,13.8
ai,us,Northwestern University,13.6
ai,us,Rochester Institute of Technology,13.0
ai,us,Washington University in St. Louis,12.7
ai,us,University of Notre Dame,12.5
ai,us,Rice University,12.4
ai,us,University of Central Florida,12.3
ai,us,Harvard University,12.2
ai,us,North Carolina State University,11.9
ai,us,University of Texas at Dallas,11.9
ai,us,Univ. of California - Berkeley,11.4
ai,us,University of Texas at Austin,11.4
ai,us,Cornell University,11.3
ai,us,Univ. of California - Irvine,11.1
ai,us,University of Massachusetts Amherst,11.0
ai,us,Michigan State University,10.7
ai,ca,University of Toronto,22.8
ai,ca,University of Alberta,19.9
ai,ca,University of Waterloo,9.8
ai,ca,Simon Fraser University,7.6
ai,ca,University of British Columbia,6.5
ai,ca,Université du Québec à Montréal,6.2
ai,ca,University of Montreal,5.9
ai,ca,University of Ottawa,5.0
ai,ca,Université Laval,4.5
ai,ca,Carleton University,3.8
ai,ca,McGill University,3.0
ai,ca,York University,2.5
ai,ca,University of Manitoba,2.2
ai,ca,University of Regina,2.2
ai,ca,Concordia University,2.0
ai,ca,Queen’s University,2.0
ai,ca,University of Victoria,1.9
ai,ca,ETS Montreal,1.8
ai,ca,McMaster University,1.8
ai,ca,Western University,1.8
ai,ca,Polytechnique Montreal,1.7
ai,ca,University of Guelph,1.4
ai,ca,Toronto Metropolitan University,1.3
ai,ca,Dalhousie University,1.2
ai,ca,University of Calgary,1.2
ai,uk,University of Edinburgh,17.8
ai,uk,Imperial College London,16.8
ai,uk,University of Oxford,15.4
ai,uk,King's College London,12.9
ai,uk,University of Liverpool,11.3
ai,uk,University of Southampton,11.1
ai,uk,Cardiff University,9.7
ai,uk,Royal Holloway University of London,9.7
ai,uk,University of Surrey,8.1
ai,uk,University College London,7.5
ai,uk,University of Aberdeen,7.4
ai,uk,University of Birmingham,7.1
ai,uk,Queen Mary University of London,6.6
ai,uk,University of Warwick,6.6
ai,uk,University of Manchester,6.5
ai,uk,University of Essex,6.0
ai,uk,University of York,5.7
ai,uk,University of Cambridge,5.1
ai,uk,University of Leeds,4.1
ai,uk,Lancaster University,3.7
ai,au,UNSW,18.3
ai,au,University of Melbourne,18.1
ai,au,Australian National University,16.7
